S,I,R,SuperSpreader
151.0,37.0,22.0,4.0
151.0,37.0,22.0,4.0
151.0,37.0,22.0,4.0
151.0,37.0,22.0,4.0
151.0,37.0,22.0,4.0
151.0,37.0,22.0,4.0
151.0,37.0,22.0,4.0
151.0,37.0,22.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,36.0,23.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,35.0,24.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,34.0,25.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,33.0,26.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,32.0,27.0,4.0
151.0,31.0,28.0,4.0
151.0,31.0,28.0,4.0
151.0,31.0,28.0,4.0
151.0,31.0,28.0,4.0
151.0,31.0,28.0,4.0
151.0,31.0,28.0,4.0
151.0,31.0,28.0,4.0
151.0,30.0,29.0,4.0
151.0,30.0,29.0,4.0
151.0,30.0,29.0,4.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,29.0,30.0,3.0
151.0,28.0,31.0,3.0
151.0,28.0,31.0,3.0
151.0,28.0,31.0,3.0
151.0,28.0,31.0,3.0
151.0,28.0,31.0,3.0
151.0,28.0,31.0,3.0
151.0,28.0,31.0,3.0
151.0,28.0,31.0,3.0
151.0,28.0,31.0,3.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,27.0,32.0,2.0
151.0,26.0,33.0,2.0
151.0,26.0,33.0,2.0
151.0,26.0,33.0,2.0
151.0,26.0,33.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,25.0,34.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
